# uuid CTM_BFGS100LS_D3-chi72-j20.05-run0_ctm8_iD3j20rnd54313n0
# j2 D chi_obs energy m l0 l1 l2 l3 l4 l5
0.05 3 36.0 -0.647809848505332 0.339786644207772 1.0 0.5738195993302654 0.5738193956706759 0.5658063282203701 0.565806140352847 0.489880579437879
0.05 3 37.0 -0.647812057724345 0.3397779241579377 1.0 0.5741127161586175 0.5739612297981562 0.565912301981252 0.5658989862520906 0.4901413733917924
0.05 3 45.0 -0.647831071700797 0.33973495990664654 1.0 0.57824356706077 0.5782433901554239 0.5728834490041448 0.5728832491653806 0.5033199058888503
0.05 3 54.0 -0.6478407438198274 0.3397162592456405 1.0 0.5812016824488507 0.5812014933322338 0.5759968333600344 0.5759966354328446 0.5046798326945947
0.05 3 63.0 -0.647846030969939 0.33970588418551906 0.9999999999999999 0.5888494835339478 0.5841142155344324 0.5769092322509034 0.5769002312449357 0.5092953624645219
0.05 3 72.0 -0.6478489198264112 0.3397018888920935 1.0 0.5936633121558202 0.5936631126666515 0.5817435984242121 0.5817433973302574 0.5113198243980798
0.05 3 73.0 -0.6478491299561059 0.3397015650451183 0.9999999999999999 0.5938732890242799 0.5938730903010985 0.581962596575074 0.5819623936419609 0.5113261032735857
0.05 3 108.0 -0.6478527782297728 0.3396981560950037 1.0 0.6000085130876966 0.6000083172472066 0.5907705288227572 0.590770335318513 0.5208958753468395
0.05 3 144.0 -0.6478532858539431 0.3396976651248605 1.0 0.6031605832403768 0.60316037270001 0.5938841261232124 0.5938839201305688 0.5314040890629319
0.05 3 180.0 -0.6478533984977727 0.33969756668323575 1.0 0.6070147253637992 0.6069886869554141 0.5983186768344492 0.5983154706842895 0.5456765834821535
0.05 3 216.0 -0.647853431842692 0.3396975429418319 1.0 0.6085871191613336 0.6085869194505329 0.6001509526306816 0.6001507490867505 0.5513081539269303
0.05 3 252.0 -0.6478534446935174 0.33969753468686564 1.0 0.6103335535175914 0.610333353258531 0.6016516947168159 0.6016514973056929 0.5576921599229258
0.05 3 270.0 -0.6478534471281263 0.33969753264801794 1.0 0.6109885674324201 0.6109838014518275 0.6018967289327397 0.6018963285386776 0.5600885136012602
