# uuid CTM_BFGS100LS_D4-chi96-j20.05-run0_ctm8_iD4j20cJ2Pn0
# j2 D chi_obs energy m l0 l1 l2 l3 l4 l5
0.05 4 32.0 -0.6487901712515345 0.3192331096303358 1.0 0.8141823213890723 0.8104436226818007 0.7084124173578201 0.7039127845420083 0.6557295671748018
0.05 4 40.0 -0.6489187084330655 0.31894843843555537 1.0 0.8328014360311016 0.819661485494857 0.7343621819590904 0.7195638393930192 0.6957676926388048
0.05 4 48.0 -0.6489717208624616 0.3187785246093924 1.0 0.8382150135164919 0.8308851394392064 0.7486997533299732 0.7317594936975473 0.7092298671444729
0.05 4 64.0 -0.6490273816820102 0.3186587361960488 1.0 0.8468141850947666 0.841960991904047 0.7625951937216656 0.7501518072964901 0.7353624322212597
0.05 4 96.0 -0.6490562724212338 0.31859785654667316 1.0 0.8591636697245932 0.8522214490511161 0.7834222311372542 0.7775349287467836 0.7676849348005714
0.05 4 128.0 -0.6490638458916187 0.3185846589310591 0.9999999999999999 0.8647744715946802 0.858364298220791 0.7974607493155816 0.791121308782735 0.7885405542911352
0.05 4 160.0 -0.6490663518744697 0.3185806677791411 1.0 0.8677083360249531 0.8612925628951358 0.8082642744709265 0.798713223537843 0.7959206730223661
0.05 4 192.0 -0.6490676015143823 0.3185791847031634 1.0 0.8702983193636393 0.8638022836778044 0.8181029223320162 0.8087447868306589 0.7995990876564104
0.05 4 228.0 -0.6490681698885385 0.31857849257284093 0.9999999999999999 0.8717036805497757 0.8654534396510909 0.8232545053767999 0.8149074975432963 0.8023427702866811
0.05 4 264.0 -0.6490684700174763 0.31857816187506766 1.0 0.873065907303031 0.867145599166781 0.8284368521666388 0.8214368649203774 0.8044643696489238
0.05 4 300.0 -0.6490686292136366 0.31857800139996556 1.0 0.8744997710588952 0.8679819678020417 0.8341395256242167 0.8246437794447585 0.8061400747894177
0.05 4 400.0 -0.6490687890377993 0.31857785508715486 1.0 0.8766862707348193 0.8704202617046272 0.8425506023638487 0.8342802444420574 0.8096293733526974
0.05 4 500.0 -0.6490688293746605 0.3185778204757291 0.9999999999999999 0.8780285774257679 0.871725426903543 0.8478291795331716 0.8394415334488585 0.811619415584123
0.05 4 600.0 -0.6490688437628255 0.31857780939065145 1.0 0.8789538956174362 0.872774943163047 0.851464218930852 0.8436376937773297 0.8138288987324447
0.05 4 700.0 -0.6490688496951429 0.3185778053109114 1.0 0.879659127859952 0.8734255546371585 0.8542270761476011 0.8461994722558068 0.8164202086204927
0.05 4 800.0 -0.6490688525001423 0.31857780358838633 1.0 0.8802205273314941 0.8738981030227809 0.8564260051889521 0.8480547770644999 0.8196751185209525
