# uuid CTM_BFGS100LS_D5-chi100-j20.15-run0_ctm8_iD5j2015n0
# j2 D chi_obs energy m l0 l1 l2 l3 l4 l5
0.15 5 50.0 -0.6100645810554562 0.2832782042566439 1.0 0.7790811479601647 0.7785687225298888 0.6565135570692843 0.6558744830894601 0.5903573582318484
0.15 5 75.0 -0.6101061085555481 0.2831663886355587 1.0 0.7902597240131213 0.7892001077065012 0.6924170977884281 0.6896052388563169 0.615258245603222
0.15 5 100.0 -0.6101163839615138 0.28314512068625824 1.0 0.7980486326792501 0.7975975569518228 0.7213938821870203 0.7210385219780195 0.627470153290318
0.15 5 125.0 -0.6101186869495488 0.28313943351877013 1.0 0.8004097458738552 0.8000114248099394 0.7294945126136194 0.7294245089089613 0.6310406426569094
0.15 5 150.0 -0.6101198582443109 0.2831373504370225 1.0 0.8027586175002706 0.8022540594170371 0.7377158327277187 0.7371508019594367 0.6379238666540342
0.15 5 175.0 -0.6101203995798276 0.2831362918046241 1.0 0.8039431659903907 0.803310006520031 0.7417682752978644 0.7407242549526392 0.6449063722967833
0.15 5 200.0 -0.6101206924216398 0.28313580256289045 0.9999999999999999 0.804738459309217 0.8041928910750664 0.744396176439983 0.7437430826091287 0.6491733353005399
0.15 5 225.0 -0.6101208677883314 0.2831355426942924 0.9999999999999999 0.8072170791232017 0.8067217993707021 0.7543201705196599 0.753827701743712 0.6709527905891405
0.15 5 250.0 -0.6101209562999735 0.2831353971648441 1.0 0.8082052770547159 0.8077871777668697 0.7581938229826259 0.7580627565111037 0.6797070752653426
0.15 5 275.0 -0.6101210279053996 0.2831353189859713 1.0 0.8090661868993584 0.8085567622517754 0.7614902775085546 0.7609450207758631 0.6860725643701542
0.15 5 300.0 -0.6101210675415966 0.2831352699229252 1.0 0.8097817202420347 0.8093552709346413 0.7642409921581895 0.764059705219077 0.6920187756588866
0.15 5 350.0 -0.610121108533411 0.2831352192898018 1.0 0.8109846554463201 0.8104277653878738 0.7688445225743418 0.7681278393830329 0.7012343524646533
0.15 5 400.0 -0.6101211286519027 0.28313519701870415 1.0 0.8116957673375425 0.811198027853319 0.7715087133208206 0.7710238377149056 0.7065174774230788
0.15 5 450.0 -0.6101211392302168 0.2831351868764039 1.0 0.812356116757934 0.8118131360748893 0.7740608686547708 0.7733846701486314 0.7118695973809854
0.15 5 500.0 -0.610121145361673 0.28313518101113416 1.0 0.8128779988412792 0.812358655291427 0.7760332313028977 0.7754662558599384 0.7158687667919714
