# uuid CTM_BFGS100LS_D4-chi96-j20.3-run0_ctm8_iD4j035chi32D3rnd54313n0
# j2 D chi_obs energy m l0 l1 l2 l3 l4 l5
0.3 4 32.0 -0.5549696161317763 0.24323885580628818 1.0 0.7248313846286034 0.561345695094446 0.5440976267612945 0.49104734724401156 0.49074279193968745
0.3 4 40.0 -0.5550332619031508 0.24305909854578725 1.0 0.7295308475555004 0.5729853525617509 0.5684404225452682 0.5105721498464918 0.49854882878240186
0.3 4 48.0 -0.555086878024083 0.24294324198493755 1.0 0.7387401301460441 0.5992358678916221 0.5717809701907799 0.513708039127707 0.5135757076150357
0.3 4 64.0 -0.5551249697562606 0.24287019549191052 1.0 0.7484632652608562 0.6319101093964218 0.5777553748305718 0.5306286006939273 0.5213482861915337
0.3 4 96.0 -0.5551493716205669 0.24284067943352577 1.0 0.7576786482002942 0.6637093527853261 0.58311375626602 0.5477927901004187 0.5287853434561677
0.3 4 128.0 -0.5551538478697083 0.2428346938932311 1.0 0.7637621725823195 0.6857635822894868 0.5866342628934564 0.5701767568384744 0.5593228517065225
0.3 4 160.0 -0.5551552345580107 0.24283314363620484 1.0 0.7664691668581494 0.695298570546486 0.5921308886899697 0.5872717112227306 0.565229792892567
0.3 4 192.0 -0.5551558445230856 0.24283264887990524 1.0 0.7691880216319116 0.7054483883112591 0.606888197522165 0.594094868689621 0.5705589840756725
0.3 4 228.0 -0.555156103124232 0.24283243573770927 1.0 0.7712106055873702 0.7128651021850695 0.620952511662179 0.5969198651460016 0.5748315083843692
0.3 4 264.0 -0.5551562145860727 0.24283234820385297 1.0 0.7723323881068679 0.7171641380832411 0.6299311929276771 0.5984724754179768 0.5774715327380306
0.3 4 300.0 -0.5551562739660129 0.24283230705683131 1.0 0.7744413504449618 0.7255373351148126 0.6481928323587145 0.5996329465782912 0.5816705965498838
0.3 4 400.0 -0.555156332309014 0.24283227140479188 1.0 0.7763413304962589 0.7327103124301595 0.6627013877619571 0.6017474605232689 0.5863245058515405
0.3 4 500.0 -0.5551563465609948 0.24283226412753015 1.0 0.7776451893387456 0.7376731226327568 0.6728760312562707 0.6037133534238959 0.5896473267544201
0.3 4 600.0 -0.5551563509244254 0.2428322620798764 1.0 0.7793579513095803 0.7444901605435862 0.6879496145028964 0.6128758565431907 0.6047814824868032
0.3 4 700.0 -0.5551563526850554 0.2428322613619114 1.0 0.7798877955163622 0.7465313941157438 0.6922476252439427 0.6197694457286678 0.6059661324646648
0.3 4 800.0 -0.5551563534286488 0.24283226108343436 1.0 0.7805620845489442 0.7491645347301092 0.697888007477162 0.6289458932558005 0.6067897330489344
