# uuid CTM_BFGS100LS_D5-chi125-j20.4-run0_ctm8_iD5j025c125n001
# j2 D chi_obs energy m l0 l1 l2 l3 l4 l5
0.4 5 50.0 -0.5229551903788404 0.17094278070914795 1.0 0.7197935988819749 0.7166239894774945 0.5820535627595653 0.5817526527251654 0.516230363358677
0.4 5 75.0 -0.5230564720837572 0.17068495903879477 0.9999999999999999 0.7311866379482932 0.726347431700926 0.6112113415207311 0.6065627623236377 0.5324100303699568
0.4 5 100.0 -0.5230915835432799 0.1706263666999915 1.0 0.7365684500541403 0.7310454507300854 0.6272115195001747 0.6200534220356912 0.5422722630252252
0.4 5 125.0 -0.5231046286866671 0.17060506849642607 0.9999999999999999 0.7416887520630948 0.7361097433566209 0.6451946906963015 0.6374063309100583 0.5494904334532369
0.4 5 150.0 -0.5231090458896346 0.17059633838662008 0.9999999999999999 0.7453159456213974 0.739798259157967 0.6578004443051892 0.6501721414049879 0.554009558076451
0.4 5 175.0 -0.5231114537567879 0.17059196888615882 1.0 0.7481522479467634 0.7435535260026734 0.6674429802205496 0.6629172893807684 0.5574777985428969
0.4 5 200.0 -0.5231130444414311 0.17058976350502175 1.0 0.7502172000773654 0.7454278018227711 0.6743700556771989 0.6692692130559291 0.5680148217361419
0.4 5 225.0 -0.5231139384178377 0.17058855732116646 1.0 0.7520923039072469 0.7473872780063283 0.6808992903516203 0.6759381732910278 0.5791809235034796
0.4 5 250.0 -0.5231145303868091 0.17058784690870718 1.0 0.7534154410782209 0.7483444139227862 0.6854638864202667 0.6792035127520744 0.586903072263387
0.4 5 275.0 -0.5231149097325842 0.17058739940160886 0.9999999999999999 0.7544787610246547 0.7495378039905802 0.6891558477317801 0.683365209089852 0.5932622074885109
0.4 5 300.0 -0.5231151114732866 0.1705871252110551 1.0 0.7552998671346833 0.7507814365161635 0.6920260330858761 0.6879653132278599 0.598265644110161
0.4 5 350.0 -0.5231153896273733 0.17058681570689102 1.0 0.7571458743548426 0.7524233079866601 0.6987638198318674 0.693997722364073 0.6108865821326638
0.4 5 400.0 -0.5231155336140313 0.1705866763834189 1.0 0.7586818756152462 0.7538727727220249 0.7046081467691571 0.6994558804078849 0.6226400000636808
0.4 5 450.0 -0.5231156101644465 0.17058660587349717 0.9999999999999999 0.7593155528397901 0.754745440296826 0.706911816024705 0.7026461458616892 0.626998181816676
0.4 5 500.0 -0.5231156581597858 0.17058656727910657 1.0 0.760396947677116 0.7558410669731248 0.7110029616782159 0.7067229396611945 0.6351852020078026
