# uuid CTM_BFGS100LS_U1B_D3-chi72-j20.05-run0-iRNDseed321
# j2 D chi_obs energy m l0 l1 l2 l3 l4 l5
0.05 3 36.0 -0.6450122962907173 0.36100356766940034 0.9999999999999999 0.3238197935277753 0.3238197935277752 0.29853550547087204 0.29853550547087193 0.26281353449915074
0.05 3 37.0 -0.6450122963176101 0.3610035676687915 1.0 0.3238209540881239 0.323820954088122 0.2985387577880897 0.2985387577880892 0.26281760224636713
0.05 3 45.0 -0.6450122964507302 0.36100356766775854 1.0 0.3246586344382844 0.3246586344382833 0.3015439120022052 0.30154391200220515 0.2684488860239375
0.05 3 54.0 -0.645012296453227 0.361003567667594 1.0 0.3253130770676643 0.32531307706766255 0.30382761113864404 0.30382761113864376 0.27250139286009845
0.05 3 63.0 -0.6450122964540222 0.3610035676675828 1.0 0.3253649620531797 0.3253649620531778 0.3040157726089688 0.30401577260896845 0.27285818321211386
0.05 3 72.0 -0.6450122964542914 0.3610035676675767 1.0 0.3254469938954653 0.325446993895465 0.30432023346996834 0.3043202334699675 0.27344936902258343
0.05 3 73.0 -0.6450122964542914 0.36100356766757674 1.0 0.32544699389546455 0.32544699389546444 0.3043202334699669 0.30432023346996606 0.27344936902258316
0.05 3 108.0 -0.6450122964544914 0.36100356766757513 1.0 0.32768698673590774 0.32768698673590657 0.3126193060737898 0.3126193060737876 0.28977049975944363
0.05 3 144.0 -0.6450122964544936 0.36100356766757513 1.0 0.3280610262480113 0.3280610262480113 0.31398088338661617 0.3139808833866148 0.2923784905321556
0.05 3 180.0 -0.6450122964544942 0.3610035676675749 1.0 0.32811141035500635 0.3281114103550052 0.31416781264790283 0.3141678126479023 0.29274895597875467
0.05 3 216.0 -0.6450122964544941 0.36100356766757496 0.9999999999999999 0.328860391215152 0.32886039121515154 0.3169977123061644 0.3169977123061612 0.29851034662061066
0.05 3 252.0 -0.6450122964544938 0.3610035676675749 1.0 0.32935939538758885 0.32935939538758796 0.31891259974080066 0.31891259974079994 0.3025265029912839
0.05 3 270.0 -0.6450122964544941 0.361003567667575 1.0 0.3294856707277638 0.3294856707277634 0.31939338031205844 0.3193933803120577 0.3035213271425126
0.05 3 300.0 -0.6450122964544941 0.3610035676675749 0.9999999999999999 0.3295866008234712 0.32958660082346963 0.31977544921817164 0.3197754492181705 0.30430381179624577
0.05 3 400.0 -0.6450122964544934 0.3610035676675749 0.9999999999999999 0.3296650402583253 0.32966504025832516 0.32007234978490146 0.32007234978489907 0.3049111557463803
0.05 3 500.0 -0.6450122964544943 0.36100356766757496 1.0 0.33039189046388856 0.3303918904638874 0.32288343979205497 0.32288343979205336 0.3108814269349826
0.05 3 600.0 -0.6450122964544936 0.36100356766757485 1.0 0.3304822700542758 0.3304812839825778 0.3232307163967615 0.32322673418535786 0.31161173124177427
0.05 3 700.0 -0.645012296454495 0.36100356766757513 1.0 0.33050761501977866 0.3305074688441252 0.3233284300922356 0.32332786271337266 0.31181828204315304
0.05 3 800.0 -0.6450122964544938 0.3610035676675749 1.0 0.3306290238534868 0.3306290238534858 0.32379985456600285 0.32379985456599863 0.31282597338711554
0.05 3 900.0 -0.6450122964544938 0.36100356766757513 0.9999999999999999 0.33090950255585605 0.33090950255584817 0.3248965789635224 0.3248965789634973 0.31520024206580816
