# uuid CTM_BFGS100LS_U1B_D5-chi101-j20.05-run0-iD5j20chi101n0
# j2 D chi_obs energy m l0 l1 l2 l3 l4 l5
0.05 5 50.0 -0.64921513063952 0.3100663301664544 1.0 0.7620432386543264 0.7620432386543227 0.656019799539631 0.6560197995396282 0.5734872671198352
0.05 5 75.0 -0.6492255793805929 0.31003889028731324 1.0 0.775117485766948 0.7751174857669462 0.7040540213785023 0.7040540213785011 0.6026281627620882
0.05 5 100.0 -0.6492280521112405 0.31003430637762897 1.0 0.7778274506578291 0.7778274506578271 0.7126613410066973 0.7126613410066965 0.6154844289179954
0.05 5 125.0 -0.649228521313416 0.31003330701182197 1.0 0.7799669644560487 0.7799669644560461 0.7202172716404865 0.7202172716404857 0.6289140023692926
0.05 5 150.0 -0.6492287382100139 0.3100329492348921 1.0 0.7809872807942144 0.7809872807942123 0.7236641115908587 0.7236641115908566 0.6347481806189623
0.05 5 175.0 -0.6492288577932239 0.3100327846551857 1.0 0.7820353195033577 0.7820353195033548 0.7275415236623677 0.7275415236623662 0.6422268384037543
0.05 5 200.0 -0.649228912403353 0.3100327086614443 1.0 0.7839052791087116 0.7839052791087111 0.7349319287156223 0.7349319287156164 0.6580712645271874
0.05 5 225.0 -0.649228942728735 0.31003266878577906 1.0 0.7854482357583003 0.7854482357582957 0.7410786354704789 0.7410786354704757 0.6715180790403332
0.05 5 250.0 -0.6492289590824923 0.31003264832264293 1.0 0.7860905264743483 0.7860905264743434 0.7435527073511291 0.7435527073511241 0.6766772806451473
0.05 5 275.0 -0.6492289712677882 0.31003263557150895 1.0 0.7871154906406755 0.7871154906406745 0.7473627607567289 0.747362760756726 0.6841021799965663
0.05 5 300.0 -0.6492289771244314 0.31003262929418174 1.0 0.7875781339774058 0.7875781339774037 0.749134416933631 0.7491344169336293 0.6877750968276024
0.05 5 350.0 -0.6492289833478017 0.3100326230056871 1.0 0.7880958236788688 0.7880958236788679 0.7510921366172068 0.7510921366172016 0.6917449864912416
0.05 5 400.0 -0.6492289857477556 0.3100326202284144 1.0 0.7887470879511582 0.7887470879511557 0.7535355150373821 0.7535355150373806 0.696630516556713
0.05 5 450.0 -0.6492289873021865 0.31003261896255263 1.0 0.7892945839634588 0.7892945839634544 0.7556601854945678 0.7556601854945676 0.7011329209545096
0.05 5 500.0 -0.6492289880182409 0.31003261837928875 1.0 0.7902441881076372 0.7902441881076352 0.7594521233786118 0.7594521233786072 0.7095354124244798
0.05 5 550.0 -0.6492289884400337 0.3100326180570614 0.9999999999999999 0.7908155764200241 0.790815576420023 0.7617150789679852 0.7617150789679835 0.7144987024698594
0.05 5 600.0 -0.6492289886872302 0.3100326178735772 0.9999999999999999 0.791169002892972 0.7911690028929715 0.7631012015710218 0.7631012015710203 0.7174936787258548
0.05 5 650.0 -0.6492289888340663 0.3100326177618023 1.0 0.7913193012983624 0.7913193012983606 0.7636739895549751 0.7636739895549748 0.7186847925477984
0.05 5 700.0 -0.6492289889384174 0.31003261769657453 1.0 0.7915872139098034 0.791587213909801 0.7647061149251014 0.7647061149250954 0.7208487941540973
