# uuid CTM_BFGS100LS_U1B_D7-chi147-j20.25-run0-c3U1guess0AD7j20chi147n0
# j2 D chi_obs energy m l0 l1 l2 l3 l4 l5
0.25 7 49.0 -0.5729188971868675 0.2440109935154345 0.9999999999999999 0.8108933556785944 0.8108573017478352 0.6668178014599027 0.6666256629818385 0.6255990849719473
0.25 7 98.0 -0.573045877971187 0.2432298993276449 0.9999999999999999 0.8310195079773652 0.8310195079773116 0.7289769297901705 0.7289769297900683 0.6617980175841569
0.25 7 147.0 -0.573067032420922 0.24314824901798232 1.0 0.8389401078821286 0.8385189752657299 0.757608136387277 0.7557568838900316 0.6751607244741238
0.25 7 196.0 -0.5730709428604991 0.24312342503618042 1.0 0.8443667318668691 0.8443667318668657 0.777093675089681 0.777093675089677 0.6873453815104279
0.25 7 245.0 -0.5730728993818546 0.2431150499684899 0.9999999999999999 0.8465188283369908 0.8465188283369878 0.7848565789485992 0.7848565789485975 0.6918410677033504
0.25 7 294.0 -0.5730741690147308 0.24311133893668 1.0 0.847915450539003 0.8479154505390007 0.7896641489913707 0.7896641489913676 0.6983718312328311
0.25 7 343.0 -0.5730747394125875 0.24310971188218145 0.9999999999999999 0.8492103006955856 0.8492103006955817 0.7944333302868077 0.7944333302868027 0.7076027394466103
0.25 7 392.0 -0.5730750710871171 0.24310880442494662 1.0 0.8511856924860461 0.8511856924860423 0.8023144957150655 0.8023144957150601 0.7247342907939083
0.25 7 441.0 -0.5730753350416021 0.24310832861597528 1.0 0.8522542613984344 0.852254261398429 0.8065197621846728 0.8065197621846716 0.733754838143316
0.25 7 490.0 -0.5730754437344382 0.243108037851219 1.0 0.8528560121820669 0.8528560121820639 0.8087828279202032 0.808782827920199 0.7383008573937941
0.25 7 539.0 -0.5730755274569536 0.24310786207521548 1.0 0.8535068204164159 0.8535068204164151 0.8112469403320246 0.8112469403320217 0.7432416988023035
0.25 7 588.0 -0.5730755824628055 0.24310774103605 0.9999999999999999 0.854060110486487 0.8540601104864851 0.813433153376533 0.8134331533765214 0.7480268764050315
0.25 7 637.0 -0.573075619772292 0.2431076613946401 0.9999999999999999 0.854389055465249 0.8543890554652483 0.8146724286807444 0.8146724286807411 0.7505314375678589
