# uuid CTM_BFGS100LS_U1B_D7-chi197-j20.45-run0-ctm10-c4U1BD7j2035chi147n0
# j2 D chi_obs energy m l0 l1 l2 l3 l4 l5
0.45 7 49.0 -0.5080357728691491 0.1302387379255209 0.9999999999999999 0.6742737371635149 0.6742737371635145 0.4972905831774108 0.49729058317741004 0.4864814657898734
0.45 7 98.0 -0.5087727104019694 0.12723309768854577 1.0 0.7059999132344271 0.7059999132344268 0.5562559699208975 0.5562559699208969 0.5243022369344074
0.45 7 147.0 -0.5089094304358024 0.12674470632388168 1.0 0.7213737369981973 0.7213737369981967 0.5966329615800088 0.5966329615800061 0.5374198411839012
0.45 7 196.0 -0.5089543371567948 0.12659421043132543 1.0 0.7282965846094758 0.7282965846094736 0.6148550127439169 0.6148550127439159 0.5454291847714607
0.45 7 245.0 -0.5089697552690141 0.1265369124758947 1.0 0.7319319992505022 0.7319319992505006 0.6248344234768912 0.6248344234768891 0.5497216604447365
0.45 7 294.0 -0.5089788453831584 0.126509296698149 1.0 0.7352033595112876 0.7352033595112871 0.6343708836383435 0.6343708836383423 0.5526325051170985
0.45 7 343.0 -0.5089846932564904 0.12649264106862357 1.0 0.7378599513051671 0.7378599513051629 0.6429410739862917 0.6429410739862861 0.5554383996054806
0.45 7 392.0 -0.508988249362641 0.12648395810306023 1.0 0.740251834738586 0.7402518347385849 0.6508157388752017 0.6508157388752004 0.5571082016594783
0.45 7 441.0 -0.5089905345787294 0.1264786309607039 1.0 0.7421412147440012 0.7421412147440002 0.6572059011968706 0.6572059011968704 0.5586513173155727
0.45 7 490.0 -0.5089920314025907 0.12647502102192287 1.0 0.7438656004847978 0.7438656004847949 0.6628149314229679 0.6628149314229665 0.5597237052764702
0.45 7 539.0 -0.5089932074523933 0.12647266024345438 0.9999999999999999 0.7450834156927572 0.7450834156927553 0.6669160930238359 0.6669160930238356 0.5610441165639359
0.45 7 637.0 -0.5089945262824095 0.12646986073040117 1.0 0.7473724682210735 0.7473724682210715 0.6746522399598063 0.6746522399598045 0.5735063613746447
