# uuid CTM_BFGS100LS_U1B_D4-chi96-j20.5-run0-c2U1BD4j2045chi96n0
# j2 D chi_obs energy m l0 l1 l2 l3 l4 l5
0.5 4 32.0 -0.49424842747070724 0.1423604276676978 1.0 0.5157772756269804 0.5157772756269802 0.4370934700035392 0.4370934700035374 0.41687584107143627
0.5 4 32.0 -0.49424842747070724 0.1423604276676973 1.0 0.5157772756269821 0.5157772756269807 0.43709347000353965 0.43709347000353965 0.41687584107144077
0.5 4 40.0 -0.4942803610147909 0.14232171811653113 1.0 0.5207810601399051 0.5207810601399038 0.4431242911876658 0.44312429118766566 0.4193306529978652
0.5 4 40.0 -0.4942803610147911 0.14232171811653158 1.0 0.5207810601399051 0.520781060139905 0.4431242911876695 0.443124291187668 0.4193306529978647
0.5 4 48.0 -0.49430076253679334 0.142296709956222 1.0 0.5261582615629644 0.5261582615629627 0.4517078211716733 0.45170782117167285 0.42090278349073235
0.5 4 48.0 -0.49430076253679345 0.14229670995622173 0.9999999999999999 0.526158261562964 0.5261582615629633 0.45170782117167496 0.4517078211716744 0.42090278349073496
0.5 4 64.0 -0.4943130624774632 0.14229068227442834 0.9999999999999999 0.5284110790705421 0.5284110790705416 0.45664870131788227 0.4566487013178813 0.42481508425859293
0.5 4 64.0 -0.4943130624774642 0.14229068227442834 0.9999999999999999 0.5284110790705422 0.5284110790705419 0.45664870131788105 0.45664870131787993 0.4248150842585938
0.5 4 96.0 -0.49432128126000807 0.1422878634613095 0.9999999999999999 0.5354887760875835 0.5354887760875835 0.4761381633141516 0.47613816331415043 0.42880912600826326
0.5 4 96.0 -0.4943212812600094 0.1422878634613097 0.9999999999999999 0.535488776087585 0.5354887760875844 0.4761381633141549 0.47613816331415326 0.4288091260082645
0.5 4 128.0 -0.4943222914417402 0.14228739550935213 1.0 0.5402507618374468 0.5402507618374467 0.4892519004978465 0.48925190049784606 0.44106667300663166
0.5 4 128.0 -0.49432229144173956 0.14228739550935182 1.0 0.540250761837451 0.5402507618374509 0.4892519004978494 0.48925190049784856 0.44106667300663244
0.5 4 160.0 -0.4943226224870557 0.14228728951233732 0.9999999999999999 0.5425166395960993 0.5425166395960984 0.4956677958871783 0.49566779588717796 0.4482709168972458
0.5 4 160.0 -0.49432262248705466 0.14228728951233746 0.9999999999999999 0.5425166395960958 0.5425166395960949 0.4956677958871794 0.4956677958871791 0.44827091689724635
0.5 4 192.0 -0.4943227178379237 0.14228725487417782 0.9999999999999999 0.5447348721026855 0.5447348721026847 0.5020317776433852 0.5020317776433849 0.455728891342205
0.5 4 192.0 -0.49432271783792325 0.14228725487417804 0.9999999999999999 0.5447348721026822 0.5447348721026815 0.5020317776433837 0.5020317776433818 0.45572889134220573
0.5 4 228.0 -0.4943227831814996 0.14228724207650817 0.9999999999999999 0.5460542702039051 0.5460542702039012 0.5060633695886765 0.5060633695886755 0.46124353970226567
0.5 4 228.0 -0.49432278318150036 0.14228724207650867 1.0 0.5460542702039048 0.5460542702039026 0.5060633695886757 0.5060633695886745 0.4612435397022652
0.5 4 264.0 -0.4943228119985035 0.14228723835613225 1.0 0.5476473518285605 0.5476473518285603 0.5111864313371923 0.5111864313371896 0.46889236730614225
0.5 4 264.0 -0.4943228119985039 0.14228723835613277 1.0 0.5476473518285601 0.547647351828559 0.5111864313371915 0.5111864313371905 0.46889236730614275
0.5 4 300.0 -0.4943228229153786 0.14228723670201063 1.0 0.5490900923259474 0.5490900923259461 0.5160118943448802 0.5160118943448793 0.476529340608661
0.5 4 300.0 -0.49432282291537905 0.1422872367020107 1.0 0.549090092325947 0.5490900923259451 0.5160118943448833 0.5160118943448812 0.47652934060865976
0.5 4 400.0 -0.49432283251223685 0.14228723536185225 1.0 0.5508153364923236 0.5508153364923206 0.5214086678345006 0.5214086678344987 0.48408128715351356
0.5 4 400.0 -0.49432283251223585 0.14228723536185248 1.0 0.5508153364923232 0.5508153364923228 0.5214086678345015 0.5214086678345002 0.4840812871535171
0.5 4 500.0 -0.49432283508766817 0.14228723511067654 1.0 0.551961377908953 0.5519613779089502 0.5251171401671639 0.5251171401671636 0.48985013464162747
0.5 4 500.0 -0.4943228350876708 0.14228723511067665 1.0 0.5519613779089543 0.5519613779089542 0.5251171401671633 0.5251171401671625 0.48985013464162874
0.5 4 600.0 -0.49432283564748714 0.14228723505087898 0.9999999999999999 0.5527859984014523 0.5527859984014516 0.5278801196149071 0.5278801196149057 0.4944485271365352
0.5 4 600.0 -0.4943228356475024 0.1422872350508791 1.0 0.5527859984014512 0.5527859984014497 0.5278801196149074 0.5278801196149054 0.49444852713653525
0.5 4 700.0 -0.4943228358652185 0.14228723503201865 1.0 0.5534388606828238 0.5534388606828213 0.5301033086661755 0.5301033086661741 0.49832431096285995
0.5 4 700.0 -0.4943228358652688 0.14228723503201726 1.0 0.553438860682821 0.5534388606828193 0.5301033086661735 0.5301033086661727 0.4983243109628561
0.5 4 800.0 -0.494322835989975 0.14228723502494942 1.0 0.5538847138250931 0.5538847138250927 0.5316153661695756 0.5316153661695756 0.500914867382179
0.5 4 800.0 -0.494322835990075 0.14228723502494964 1.0 0.5538847138250927 0.5538847138250919 0.5316153661695777 0.5316153661695749 0.5009148673821798
0.5 4 900.0 -0.4943228360395458 0.14228723502183666 1.0 0.5543527236518357 0.5543527236518326 0.5331761865376351 0.5331761865376341 0.5035065649963528
