# uuid CTMRG_BFGSLS_U1B_D8-chi192-j20.5j30.0-run0-ctm10-ofg-c8D8ch147n0
# j2 D chi_obs energy m l0 l1 l2 l3 l4 l5 l6 l7
0.5 8 64.0 -0.49574142006389266 0.09031758851444516 1.0 0.646397391285706 0.6463973912857037 0.5894290334564496 0.5313656610432759 0.5051171136111146 0.5051171136111121 0.4962468002570972
0.5 8 96.0 -0.4961318777860232 0.08877050483842572 1.0 0.6626798813443644 0.6626798813443627 0.6062736874586853 0.5481610905497254 0.5180478951569625 0.5180478951569605 0.5146621814521853
0.5 8 128.0 -0.49628516044463955 0.08821639529254724 1.0 0.675322642411843 0.6753226424118426 0.6144503981259023 0.5570685835129808 0.534545461075351 0.5345454610753503 0.5249352926166551
0.5 8 160.0 -0.49635800770598437 0.08793270154850819 1.0 0.682133533109875 0.6821335331098745 0.6218530660743314 0.5685210979423206 0.5495563300879737 0.5495563300879737 0.5313534219337782
0.5 8 196.0 -0.49640279152754013 0.08777272817026405 1.0 0.6883377226770828 0.6883377226770812 0.6272983600507244 0.5759635149904012 0.5651616305297644 0.5651616305297605 0.5414256592859983
0.5 8 240.0 -0.49642463415840704 0.087673684163209 1.0 0.6936271491626033 0.6936271491625999 0.6315779659755558 0.5815737117576032 0.5791765382443689 0.5791765382443681 0.5467447843660949
0.5 8 270.0 -0.49643567567307534 0.08762795830067288 0.9999999999999999 0.6962021807474443 0.6962021807474421 0.6338142335288652 0.586023138144255 0.5860231381442532 0.5845751692041933 0.5498346757988033
0.5 8 320.0 -0.4964488877623574 0.0875847156374622 0.9999999999999999 0.6986291378269551 0.6986291378269509 0.6374136842320339 0.592523412694998 0.5925234126949966 0.588983947458432 0.555060666035952
0.5 8 400.0 -0.4964610056367397 0.08754989315870992 1.0 0.7016730363105993 0.7016730363105965 0.6411608376578039 0.6011160640763139 0.6011160640763117 0.5931634275830718 0.5587120197629142
0.5 8 512.0 -0.4964687796784705 0.087527728897109 1.0 0.7062267751611206 0.7062267751611201 0.6449959824321189 0.6153437842263663 0.6153437842263646 0.5981298727056793 0.5632464467899231
