# uuid CTM_BFGS100LS_U1B_D3-chi72-j20.55-run0-c1RNDseed321
# j2 D chi_obs energy m l0 l1 l2 l3 l4 l5
0.55 3 36.0 -0.4775011867119185 0.13732808510264174 0.9999999999999999 0.5285638793892029 0.5285638793892022 0.512790503590316 0.44959450341379326 0.4495945034137896
0.55 3 37.0 -0.4775016301606004 0.13732807744097641 1.0 0.5286103342272872 0.5286103342272865 0.5138199841315045 0.4497217208251373 0.44972172082513584
0.55 3 45.0 -0.47750407379403215 0.13732774462616848 1.0 0.5335214483912116 0.533521448391211 0.5150578895204558 0.46479902035466825 0.46479902035466764
0.55 3 54.0 -0.47750413468543457 0.13732767883852026 1.0 0.5347093380114218 0.5347093380114215 0.5184053050446221 0.46863002802998804 0.46863002802998727
0.55 3 63.0 -0.47750443796022 0.13732765783320444 1.0 0.5377041833236726 0.537704183323672 0.5208256468802585 0.47909639509148677 0.4790963950914864
0.55 3 72.0 -0.47750456104886124 0.13732764664995695 1.0 0.5388952268857543 0.538895226885752 0.5218449108057652 0.4830267636985944 0.48302676369859354
0.55 3 73.0 -0.4775045616904239 0.1373276459975887 1.0 0.5389353688757841 0.5389353688757836 0.522126539723401 0.4831535301598791 0.4831535301598777
0.55 3 108.0 -0.4775046695959738 0.13732763614613683 0.9999999999999999 0.5436814384890362 0.5436814384890359 0.5239088655757266 0.49964840392524507 0.499648403925244
0.55 3 144.0 -0.4775046759382341 0.13732763583417595 1.0 0.5460180823659364 0.5460180823659356 0.5270262077908542 0.5080574327520063 0.5080574327520062
0.55 3 180.0 -0.4775046767162998 0.13732763578517268 1.0 0.5473900701190241 0.5473900701190234 0.5284966901616043 0.5130528927140173 0.5130528927140168
0.55 3 216.0 -0.4775046768727931 0.13732763577985563 1.0 0.5479978710857581 0.5479978710857575 0.5297632013043932 0.5153104256447038 0.5153104256447036
0.55 3 252.0 -0.47750467691383447 0.1373276357784618 1.0 0.5494209109104018 0.5494209109104011 0.531011266333599 0.5206985885699117 0.5206985885699089
0.55 3 270.0 -0.47750467693357934 0.13732763577818902 1.0 0.5498116385298336 0.5498116385298322 0.5311297967857529 0.5221191147961927 0.5221191147961923
0.55 3 300.0 -0.4775046769503851 0.13732763577797952 1.0 0.5502513491876386 0.550251349187637 0.5315081612384885 0.5237459692891413 0.5237459692891412
0.55 3 400.0 -0.4775046769643116 0.13732763577785578 1.0 0.5511454142512745 0.5511454142512737 0.5324141118840553 0.5271314863723651 0.5271314863723631
0.55 3 500.0 -0.47750467696638227 0.137327635777845 1.0 0.5519400935875459 0.5519400935875458 0.5333133787473207 0.530174728402257 0.5301747284022538
0.55 3 600.0 -0.4775046769667616 0.13732763577784365 1.0 0.5527461003109064 0.5527461003109061 0.5338539829262592 0.5332682162090273 0.5332682162090241
0.55 3 700.0 -0.4775046769668241 0.13732763577784302 1.0 0.5530197646341807 0.5530197646341793 0.5343649368849651 0.5343158736912529 0.5343158736912511
0.55 3 800.0 -0.4775046769668396 0.13732763577784365 1.0 0.5535258395108024 0.5535258395108017 0.5362575794412899 0.5362575794412869 0.5345972310008986
0.55 3 900.0 -0.4775046769668421 0.13732763577784313 1.0 0.5537609048523884 0.5537609048523883 0.5371603478900422 0.5371603478900416 0.5348853772950615
